ticker,date_pulled,trailing_eps,trailing_pe,total_revenue,operating_cashflow,market_cap,sector
AAPL,2026-02-12,7.91,33.126423,435617005568,135471996928.0,3851297488896,Technology
MSFT,2026-02-12,15.97,25.295553,305453006848,160506003456.0,3002457653248,Technology
GOOGL,2026-02-12,10.82,28.827173,402835996672,164713005056.0,3773175431168,Communication Services
META,2026-02-12,23.47,27.82254,200965996544,115799998464.0,1651787038720,Communication Services
NVDA,2026-02-12,4.05,46.671604,187141996544,83158999040.0,4602070040576,Technology
TSLA,2026-02-12,1.07,389.1869,94827003904,14746999808.0,1562625179648,Consumer Cyclical
AMD,2026-02-12,2.61,79.48276,34638999552,7709000192.0,338228740096,Technology
AMZN,2026-02-12,7.16,27.828772,716923994112,139514003456.0,2138975895552,Consumer Cyclical
NBIS,2026-02-12,-0.19,,363300000,-524100000.0,21932408832,Communication Services
NIO,2026-02-12,-1.66,,72540692480,,12567435264,Consumer Cyclical
